Company Name,BSE Number,Group
Company,Code,Group
AYM Syntex Ltd.,508933,T
Azad Engineering Ltd.,544061,B
Azad India Mobility Ltd.,504731,XT
Aztec Fluids & Machinery Ltd.,544177,M
B C Power Controls Ltd.,537766,X
B L Kashyap & Sons Ltd.,532719,B
B N Rathi Securities Ltd.,523019,X
B P Capital Ltd.,536965,XT
B&A Ltd.,508136,X
B&A Packaging India Ltd.,523186,XT
B&B Realty Ltd.,506971,Z
B&B Triplewall Containers Ltd.,543668,B
B-Right Realestate Ltd.,543543,MT
B2B Software Technologies Ltd.,531268,X
Baazar Style Retail Ltd.,544243,B
Baba Arts Ltd.,532380,X
Bacil Pharma Ltd.,524516,XT
Baffin Engineering Projects Ltd.,532161,T
Bafna Pharmaceuticals Ltd.,532989,T
BAG Films & Media Ltd.,532507,B
Company,Code,Group
Baid Finserv Ltd.,511724,T
Bajaj Auto Ltd.,532977,A
Bajaj Consumer Care Ltd.,533229,A
Bajaj Electricals Ltd.,500031,A
Bajaj Finance Ltd.,500034,A
Bajaj Finserv Ltd.,532978,A
Bajaj Healthcare Ltd.,539872,B
Bajaj Hindusthan Sugar Ltd.,500032,A
Bajaj Holdings & Investment Ltd.,500490,A
Bajaj Housing Finance Ltd.,544252,B
Bajaj Steel Industries Ltd.,507944,X
Bajel Projects Ltd.,544042,B
Bajrang Finance Ltd.,511139,XT
Bal Pharma Ltd.,524824,T
Balaji Amines Ltd.,530999,A
Balaji Telefilms Ltd.,532382,T
Balasore Alloys Ltd.,513142,Z
Balgopal Commercial Ltd.,539834,XT
Balkrishna Industries Ltd.,502355,A
Balkrishna Paper Mills Ltd.,539251,B
Ballarpur Industries Ltd.,500102,Z
Balmer Lawrie & Company Ltd.,523319,A
Balmer Lawrie Investments Ltd.,532485,B
Balrampur Chini Mills Ltd.,500038,A
Balu Forge Industries Ltd.,531112,B
Balurghat Technologies Ltd.,520127,X
Bambino Agro Industries Ltd.,519295,X
Bampsl Securities Ltd.,531591,X
Banaras Beads Ltd.,526849,B
Banas Finance Ltd.,509053,X
Banco Products (India) Ltd.,500039,B
Bandaram Pharma Packtech Ltd.,524602,XT
Bandhan Bank Ltd.,541153,A
Bang Overseas Ltd.,532946,B
Bangalore Fort Farms Ltd.,539120,XT
Bank of Baroda,532134,A
Bank of India,532149,A
Bank of Maharashtra,532525,A
Bannari Amman Spinning Mills Ltd.,532674,T
Bannari Amman Sugars Ltd.,500041,B
Bansal Roofing Products Ltd.,538546,T
Bansal Wire Industries Ltd.,544209,B
Bansisons Tea Industries Ltd.,519353,ZP
Banswara Syntex Ltd.,503722,B
Barak Valley Cements Ltd.,532916,B
Barbeque-Nation Hospitality Ltd.,543283,B
Baroda Extrusion Ltd.,513502,XT
Baroda Rayon Corporation Ltd.,500270,X
Baron Infotech Ltd.,532336,XT
Bartronics India Ltd.,532694,B
Basant Agro Tech (India) Ltd.,524687,X
BASF India Ltd.,500042,A
Bata India Ltd.,500043,A
Batliboi Ltd.,522004,X
Bayer Cropscience Ltd.,506285,A
Bazel International Ltd.,539946,XT
BCC Fuba India Ltd.,517246,XT
BCL Enterprises Ltd.,539621,X
BCL Industries Ltd.,524332,B
BCPL International Ltd.,538364,Z
BCPL Railway Infrastructure Ltd.,542057,B
BDH Industries Ltd.,524828,X
Beardsell Ltd.,539447,B
Bedmutha Industries Ltd.,533270,B
Bee Electronic Machines Ltd.,517203,XD
Beekay Niryat Ltd.,539546,XT
Beekay Steel Industries Ltd.,539018,B
Beeyu Overseas Ltd.,532645,X
Bella Casa Fashion & Retail Ltd.,539399,XT
Bemco Hydraulics Ltd.,522650,X
BEML Land Assets Ltd.,543898,B
BEML Ltd.,500048,A
Benara Bearings & Pistons Ltd.,541178,M
Benares Hotels Ltd.,509438,B
Benchmark Computer Solutions Ltd.,544052,M
Bengal & Assam Company Ltd.,533095,B
Bengal Steel Industries Ltd.,512404,P
Bengal Tea and Fabrics Ltd.,532230,X
Bentley Commercial Enterprises Ltd.,512195,P
Berger Paints (India) Ltd.,509480,A
Bervin Investment & Leasing Ltd.,531340,XT
